registry_id,f0_source,canonical_field,entity,source_system,source_table,source_variable,source_role,variable_role,provenance_class,observation_status_policy,derived_from,temporal_class,event_scope,available_from,allowed_modules,allowed_use,forbidden_use,runtime_core_input_policy,leakage_risk,no_future_status,fit_role,validation_role,notes
D011,F0.3a,person_day.day_mobility_status,PersonDayObservation,MiD2017_B1_v1.1,Personen,mobil_diff,DERIVED_OBSERVATION,DERIVED,EDG_DERIVED,,person_day.source_mobility_status,SOURCE_DAY_OUTCOME_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,canonical source outcome classes NO_TRIP_CONFIRMED/TRIP_DAY*/OUT_OF_SCOPE/etc.,runtime predictor for same generated person-day,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,PARTICIPATION_LABEL,AVAILABLE,
D012,F0.3a,person_day.participation_class,PersonDayObservation,MiD2017_B1_v1.1,Personen,mobil_diff,DERIVED_OBSERVATION,DERIVED,EDG_DERIVED,,person_day.day_mobility_status,SOURCE_DAY_OUTCOME_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,"strict participation label: positive {1,2,3,5}, negative {0}",encode NO_TRIP as ModeFamily; runtime predictor of own realized participation,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,PARTICIPATION_LABEL_STRICT,AVAILABLE,NoTrip precedes mode choice and produces zero TripIntent.
D013,F0.3a,person_day.trip_record_status,PersonDayObservation,MiD2017_B1_v1.1,Personen,mobil_diff,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,person_day.source_mobility_status,QUALITY_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,distinguish detailed/rbW/no-record coverage,behavioral covariate,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D014,F0.3a,person_day.participation_fit_status,PersonDayObservation,MiD2017_B1_v1.1,Personen,mobil_diff,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,person_day.source_mobility_status,QUALITY_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,strict/sensitivity eligibility for participation fitting,behavioral covariate,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D015,F0.3a,person_day.source_person_weight,PersonDayObservation,MiD2017_B1_v1.1,Personen,P_GEW,PROVENANCE,PROVENANCE,OBSERVED,,,SOURCE_PROVENANCE,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,survey estimation/weighted diagnostics,agent behavioral feature or choice covariate,NEVER,MEDIUM_METHOD,PASS_WITH_GUARD,WEIGHT_ONLY,AVAILABLE,
D016,F0.3a,person_day.source_person_expansion_factor,PersonDayObservation,MiD2017_B1_v1.1,Personen,P_HOCH,PROVENANCE,PROVENANCE,OBSERVED,,,SOURCE_PROVENANCE,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,survey estimation/weighted diagnostics,agent behavioral feature or choice covariate,NEVER,MEDIUM_METHOD,PASS_WITH_GUARD,WEIGHT_ONLY,AVAILABLE,
D017,F0.3b,person_day.direct_trip_count_observed,PersonDayTripCoverage,MiD2017_B1_v1.1,Personen,anzwege1,OBSERVATION,OBSERVED,OBSERVED,0..12 substantive; 803/804 qualified codes,,SOURCE_DAY_OUTCOME,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,direct-trip count evidence,same-day runtime predictor; interpret as total chain length when extra/rbW exist,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TRIP_COUNT_COMPONENT_STRICT,AVAILABLE,
D018,F0.3b,person_day.additional_undetailed_trip_count,PersonDayTripCoverage,MiD2017_B1_v1.1,Personen,W_ANZWW,OBSERVATION,OBSERVED,OBSERVED,0..42; 99 missing; 801/802/803/804/807/808 qualified,,SOURCE_DAY_OUTCOME,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,count additional trips beyond detail cap; distinguish 807/808 as known zero,treat 99 as zero; assume detailed records exist,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TRIP_COUNT_COMPONENT_STRICT,AVAILABLE,
D019,F0.3b,person_day.rbw_trip_count_reported,PersonDayTripCoverage,MiD2017_B1_v1.1,Personen,P_RBW_ANZ,OBSERVATION,OBSERVED,OBSERVED_AGGREGATE_RBW,1..49 exact; 50=50_PLUS; design/missing codes preserved,,SOURCE_DAY_OUTCOME,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,regular occupational trip-count component,chronological rbW sequence; ordinary mode-choice event,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TRIP_COUNT_COMPONENT_STRICT,AVAILABLE,Aggregate occupational-trip evidence; valid count may contribute to strict trip-count fitting.
D020,F0.3b,person_day.non_rbw_total_analytic_count,PersonDayTripCoverage,MiD2017_B1_v1.1,Personen,anzwege2,DERIVED_OBSERVATION,DERIVED,SOURCE_DERIVED,,anzwege1 + W_ANZWW when available,SOURCE_DAY_OUTCOME_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,MiD analytic non-rbW count,ground-truth physical trip count; same-day runtime predictor,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TRIP_COUNT_LABEL_WITH_QUALITY,AVAILABLE,
D021,F0.3b,person_day.analytic_total_trip_count,PersonDayTripCoverage,MiD2017_B1_v1.1,Personen,anzwege3,DERIVED_OBSERVATION,DERIVED,SOURCE_DERIVED,,anzwege2 + represented rbW,SOURCE_DAY_OUTCOME_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,MiD analytic total count with component-quality flags,call ground_truth_trip_count; same-day runtime predictor,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TRIP_COUNT_LABEL_WITH_QUALITY,AVAILABLE,
D022,F0.3b,person_day.trip_count_fit_tier,PersonDayTripCoverage,MiD2017_B1_v1.1,EDG audit,anzwege*/W_ANZWW/P_RBW*,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,count components + mobil_diff,QUALITY_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,task-specific fitting eligibility,behavioral feature,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D023,F0.3b,person_day.chain_coverage_status,PersonDayTripCoverage,MiD2017_B1_v1.1,EDG audit,Wege coverage + count components,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,"direct rows, extra-trip count, rbW coverage, mobil_diff",QUALITY_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,"separate count-complete, row-complete and chronologically incomplete cases",behavioral feature,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,CHAIN_COVERAGE_QUALITY,AVAILABLE,
D024,F0.3b,trip.row_provenance,TripObservation,MiD2017_B1_v1.1,Wege,W_RBW,OBSERVATION,PROVENANCE,OBSERVED,0=DIRECT_TRIP_OBSERVATION;1=RBW_AGGREGATE_DERIVED,,SOURCE_PROVENANCE,TRIP,M0_INGESTION,M0;M2_FIT;M3_FIT;M5_FIT;M7;D_REPLAY,separate direct rows from aggregate-derived rbW,behavioral utility feature,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,PROVENANCE_GUARD,AVAILABLE,
D025,F0.3b,trip.source_trip_id,TripObservation,MiD2017_B1_v1.1,Wege,HP_ID + W_ID,OBSERVATION,IDENTITY,OBSERVED,,,SOURCE_IDENTITY,TRIP,M0_INGESTION,M0;M7,join/provenance only,behavioral feature,NEVER,NONE,PASS_WITH_GUARD,NONE,AVAILABLE,
D026,F0.3c,trip.source_purpose_code,TripPurposeObservation,MiD2017_B1_v1.1,Wege,W_ZWECK,OBSERVATION,OBSERVED,OBSERVED,1..16 substantive/relational; 99 unknown,,SOURCE_TRIP_OUTCOME,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,authoritative purpose observation preserving return structure,same-trip runtime predictor before M2 generates purpose,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,PURPOSE_SOURCE_LABEL,AVAILABLE,
D027,F0.3c,trip.canonical_trip_purpose,TripPurposeObservation,MiD2017_B1_v1.1,EDG mapping,W_ZWECK,DERIVED_OBSERVATION,DERIVED,EDG_DERIVED,,trip.source_purpose_code,SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,purpose marginal/sequence label,same-trip runtime predictor; collapse RETURN_PREVIOUS to fixed activity,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,PURPOSE_LABEL,AVAILABLE,
D028,F0.3c,trip.origin_activity,TripPurposeObservation,MiD2017_B1_v1.1,EDG chain derivation,W_SO1 + previous destination,DERIVED_OBSERVATION,DERIVED,EDG_DERIVED,,first-origin source + prior resolved destination,SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,activity-transition evidence when resolved,impute NON_HOME_UNKNOWN as WORK/HOME/etc without model,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TRANSITION_LABEL_CONDITIONAL,AVAILABLE,
D029,F0.3c,trip.destination_activity,TripPurposeObservation,MiD2017_B1_v1.1,EDG chain derivation,W_ZWECK + prior context,DERIVED_OBSERVATION,DERIVED,EDG_DERIVED,,source purpose + explicit return resolution,SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,activity-transition evidence when resolved,runtime future activity for same trip; force unresolved RETURN_PREVIOUS,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TRANSITION_LABEL_CONDITIONAL,AVAILABLE,
D030,F0.3c,trip.destination_resolution,TripPurposeObservation,MiD2017_B1_v1.1,EDG chain derivation,W_ZWECK + chain context,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,trip.destination_activity resolution process,QUALITY_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;M7,transition eligibility/provenance,behavioral feature,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D031,F0.3c,trip.purpose_subtype_raw,TripPurposeObservation,MiD2017_B1_v1.1,Wege,W_ZWD,OBSERVATION,OBSERVED,OBSERVED,source subtype codes; 2202=PAPI not collected,,SOURCE_TRIP_OUTCOME,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,optional enrichment/sensitivity,mandatory core activity class; silently select CATI/CAWI sample,D_REPLAY_ONLY,MEDIUM_METHOD,PASS_WITH_GUARD,PURPOSE_SUBTYPE_OPTIONAL,AVAILABLE,
D032,F0.3c,trip.source_purpose_recode_hw1,TripPurposeObservation,MiD2017_B1_v1.1,Wege,hwzweck1,DIAGNOSTIC,DIAGNOSTIC,SOURCE_DERIVED_BEHAVIOR,,,SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M7,statistical comparability/diagnostic,authoritative activity-chain reconstruction; M2 runtime input,NEVER,MEDIUM_TRANSFORMATION,DIAGNOSTIC_ONLY,VALIDATION_ONLY,AVAILABLE,
D033,F0.3c,trip.source_purpose_recode_hw2,TripPurposeObservation,MiD2017_B1_v1.1,Wege,hwzweck2,DIAGNOSTIC,DIAGNOSTIC,SOURCE_DERIVED_BEHAVIOR,,,SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M7,statistical comparability/diagnostic,authoritative activity-chain reconstruction; M2 runtime input,NEVER,MEDIUM_TRANSFORMATION,DIAGNOSTIC_ONLY,VALIDATION_ONLY,AVAILABLE,
D034,F0.3d,trip.departure_clock_minute,TripTemporalObservation,MiD2017_B1_v1.1,Wege,W_SZS + W_SZM,DERIVED_OBSERVATION,DERIVED,EDG_DERIVED,valid when hour 0..23 and minute 0..59; 99 missing; 701 rbW not collected,"W_SZS,W_SZM",SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,departure-time fitting/validation,future realized departure time as D_GEN input,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TIME_LABEL_CONDITIONAL,AVAILABLE,
D035,F0.3d,trip.arrival_clock_minute,TripTemporalObservation,MiD2017_B1_v1.1,Wege,W_AZS + W_AZM,DERIVED_OBSERVATION,DERIVED,EDG_DERIVED,valid when hour 0..23 and minute 0..59; 99 missing; 701 rbW not collected,"W_AZS,W_AZM",SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,arrival-time/duration fitting/validation,future realized arrival time as D_GEN input,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TIME_LABEL_CONDITIONAL,AVAILABLE,
D036,F0.3d,trip.arrival_day_offset,TripTemporalObservation,MiD2017_B1_v1.1,Wege,W_FOLGETAG,OBSERVATION,OBSERVED,OBSERVED,0 same day;1 following day;701 rbW not collected,,SOURCE_TRIP_OUTCOME,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,place arrival relative to Stichtag,discard offset or silently force same-day arrival,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TIME_LABEL_CONDITIONAL,AVAILABLE,
D037,F0.3d,trip.arrival_absolute_minute,TripTemporalObservation,MiD2017_B1_v1.1,EDG derivation,arrival clock + day offset,DERIVED_OBSERVATION,DERIVED,EDG_DERIVED,,trip.arrival_clock_minute + 1440*arrival_day_offset,SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;D_REPLAY;M7,chronological consistency/fitting,future realized time as D_GEN input,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TIME_LABEL_CONDITIONAL,AVAILABLE,
D038,F0.3d,trip.derived_trip_duration_min,TripTemporalObservation,MiD2017_B1_v1.1,Wege,wegmin,DERIVED_OBSERVATION,DERIVED,SOURCE_DERIVED,1..480 valid;9994 implausible;9995 not computable;70701 rbW not determinable,MiD prepared start/arrival information,SOURCE_TRIP_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;M7,quality/consistency and duration evidence,independent ground truth; future runtime outcome,NEVER,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,TIME_QUALITY_AND_LABEL,AVAILABLE,
D039,F0.3d,trip.temporal_row_status,TripTemporalObservation,MiD2017_B1_v1.1,EDG audit,time components + wegmin,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,departure/arrival/day-offset/duration,QUALITY_DERIVED,TRIP,M0_INGESTION,M0;M2_FIT;M7,row-level temporal eligibility,behavioral feature,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D040,F0.3d,person_day.temporal_sequence_consistent,PersonDayTemporalCoverage,MiD2017_B1_v1.1,EDG audit,ordered direct-trip times,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,direct trip temporal observations in W_ID order,QUALITY_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,sequence temporal quality,behavioral feature,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D041,F0.3d,person_day.temporal_sequence_fit_eligible,PersonDayTemporalCoverage,MiD2017_B1_v1.1,EDG audit,chain coverage + temporal quality,DERIVED_OBSERVATION,QUALITY,EDG_DERIVED,,DIRECT_REPORTED_CHAIN_COMPLETE AND temporal_sequence_consistent,QUALITY_DERIVED,PERSON_DAY,M0_INGESTION,M0;M2_FIT;M7,high-confidence temporal-chain fitting eligibility,behavioral feature,FIT_SELECTION_ONLY,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D042,F0.3e,household.residential_state,SpatialContextObservation,MiD2017_B1_v1.1,Haushalte/Wege,BLAND,OBSERVATION,OBSERVED,OBSERVED,,,SOURCE_BASELINE_CONTEXT,HOUSEHOLD_CONTEXT,M0_INGESTION,M0;M1;M2_FIT;M3_FIT;M7,resident-sample scope/context,interpret BLAND=11 as trip origin/destination in Berlin,BASELINE_CONTEXT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,
D043,F0.3e,household.residential_spatial_type,SpatialContextObservation,MiD2017_B1_v1.1,Haushalte/Wege,RegioStaR17/7/4/2;RegioStaRGem7/5,OBSERVATION,OBSERVED,OBSERVED,,,SOURCE_BASELINE_CONTEXT,HOUSEHOLD_CONTEXT,M0_INGESTION,M0;M1;M2_FIT;M3_FIT;M7,regional type context,use as intra-Berlin OD zone,BASELINE_CONTEXT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,
D044,F0.3e,household.home_area_context,SpatialContextObservation,MiD2017_B1_v1.1,Haushalte,bus28/tram28/bahn28/min_ozmz,OBSERVATION,OBSERVED,OBSERVED_DERIVED_CONTEXT,ordinal classes;95 not assignable,,SOURCE_BASELINE_CONTEXT,HOUSEHOLD_CONTEXT,M0_INGESTION,M0;M1;M2_FIT;M3_FIT;M7,home-area accessibility/context,copy as context of every trip origin,BASELINE_CONTEXT_ONLY,LOW_CONTEXT,PASS_WITH_GUARD,CONTEXT_FIT_COVARIATE,AVAILABLE,
D045,F0.3e,trip.source_trip_length_km,TripSpatialObservation,MiD2017_B1_v1.1,Wege,wegkm,OBSERVATION,OBSERVED,OBSERVED_OR_PREPARED_DISTANCE,0.01..950 substantive;9994/9999/70703 qualified,,SOURCE_SPATIAL_OUTCOME,TRIP,M0_INGESTION,M0;M2_FIT;M3_FIT;D_REPLAY;M7,strict direct-trip path-length distribution evidence when raw substantive,same-trip runtime destination input; exact euclidean OD separation,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,DISTANCE_EVIDENCE_STRICT,AVAILABLE,"Wegelänge/path length, not exact Euclidean OD separation."
D046,F0.3e,trip.trip_length_km_imputed,TripSpatialObservation,MiD2017_B1_v1.1,Wege,wegkm_imp,IMPUTED_OBSERVATION,IMPUTED_OUTCOME,SOURCE_IMPUTED,0.01..950; imputation provenance required,,SOURCE_SPATIAL_OUTCOME_IMPUTED,TRIP,M0_INGESTION,M0;M2_FIT_SENSITIVITY;M3_FIT_SENSITIVITY;D_REPLAY;M7,sensitivity/coverage for distance distributions,strict raw-distance evidence; hide imputation; exact euclidean OD separation,D_REPLAY_ONLY,MEDIUM_IMPUTATION,PASS_WITH_GUARD,DISTANCE_EVIDENCE_IMPUTED_SENSITIVITY,AVAILABLE,
D047,F0.3e,trip.observed_dataset_routed_distance_km,TripSpatialObservation,MiD2017_B1_v1.1,Wege,km_routing,DERIVED_OBSERVATION,DIAGNOSTIC,SOURCE_DERIVED_MODE_CONDITIONED,numeric or 9995/70701/70703/70706/70708,,SOURCE_SPATIAL_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M7,mode-conditioned diagnostics/validation,universal M3 fitting target; M3 runtime input; pre-choice distance signal,NEVER,HIGH_MODE_CONDITIONED_SPATIAL,DIAGNOSTIC_ONLY,VALIDATION_ONLY,AVAILABLE,
D048,F0.3e,trip.destination_area_context,TripSpatialObservation,MiD2017_B1_v1.1,Wege,bus28_zo/tram28_zo/bahn28_zo/min_ozmz_zo,OBSERVATION,OBSERVED,OBSERVED_DERIVED_CONTEXT,ordinal classes;95 unassigned;701 rbW not determinable,,SOURCE_SPATIAL_OUTCOME,TRIP,M0_INGESTION,M0;M3_FIT;D_REPLAY;M7,destination-context fitting/validation when assigned,exact destination identity/coordinate; same-trip future runtime context,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,DESTINATION_CONTEXT_EVIDENCE,AVAILABLE,
D049,F0.3e,trip.exact_od_location_status,TripSpatialObservation,MiD2017_B1_v1.1,B1 disclosure,no exposed OD coordinate/id,PROVENANCE,QUALITY,SOURCE_DISCLOSURE_LIMIT,NOT_EXPOSED_IN_B1_STANDARD,,QUALITY_DERIVED,TRIP,M0_INGESTION,M0;M3_FIT;M7,guard against claiming exact donor OD replay,invent donor PLR/BZR/coordinate/POI,NEVER,NONE,PASS_WITH_GUARD,QUALITY_ONLY,AVAILABLE,
D050,F0.3f,trip.reported_mode_atoms,TripModeObservation,MiD2017_B1_v1.1,Wege,"W_VM_A..W_VM_U,W_VM_Z",OBSERVATION,OBSERVED,OBSERVED,mode flags with PAPI harmonisation guard;703 no detail,,SOURCE_MODE_OUTCOME,TRIP,M0_INGESTION,M0;M5_FIT_LABEL;D_REPLAY;M7,observed unordered mode-set evidence,M2/M3/M4 runtime predictor; interpret as ordered stage sequence,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,MODE_SET_OUTCOME,AVAILABLE,
D051,F0.3f,trip.source_main_mode,TripModeObservation,MiD2017_B1_v1.1,Wege,hvm,DERIVED_OBSERVATION,DERIVED,SOURCE_DERIVED_BEHAVIOR,1..5 substantive;9 unknown;703 no detail,MiD mode hierarchy over reported modes,SOURCE_MODE_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M5_FIT_LABEL;D_REPLAY;M7,coarse observed choice outcome/diagnostic,same-trip M4 alternatives; M5 predictor; directly observed longest stage,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,MODE_LABEL_COARSE_SOURCE,AVAILABLE,
D052,F0.3f,trip.source_main_mode_detailed,TripModeObservation,MiD2017_B1_v1.1,Wege,hvm_diff2,DERIVED_OBSERVATION,DERIVED,SOURCE_DERIVED_BEHAVIOR,,MiD detailed main-mode hierarchy,SOURCE_MODE_OUTCOME_DERIVED,TRIP,M0_INGESTION,M0;M5_FIT_LABEL;D_REPLAY;M7,source for strict core4 validation/training label projection,same-trip runtime predictor,D_REPLAY_ONLY,HIGH_REALIZED_OUTCOME,PASS_WITH_GUARD,MODE_LABEL_DETAILED_SOURCE,AVAILABLE,
