field_or_group,source_layer,semantic_role,information_class,fit_role,runtime_role,allowed_components,prohibited_use,notes
generated_trip_times,D_GEN upstream,generated schedule,ALLOWED_RUNTIME,not a source runtime feature,upstream generated state,DISTANCE,copy source realised times,Produced by DG_TIME_SCHEDULE.
mobil_diff,MiD evidence,realised participation outcome,FIT_ONLY_EVIDENCE,target/eligibility for DG_PARTICIPATION,FORBIDDEN at runtime,PARTICIPATION,same-day predictor,"Binary reference uses allowed status set {0,1,2,3,5}; unknown/out-of-scope excluded."
anzwege_or_source_trip_count,MiD evidence,realised daily count,FIT_ONLY_EVIDENCE,target/eligibility for DG_TRIP_COUNT,FORBIDDEN at runtime,TRIP_COUNT,predict participation/count from realised count,rbW/top-coded semantics retained.
analytic_total_trip_count,Derived evidence,diagnostic count,FIT_ONLY_EVIDENCE,validation/bridge evidence,FORBIDDEN at runtime,TRIP_COUNT,treat as physical ground truth,Explicitly not ground truth physical count.
W_ZWECK_or_canonical_purpose,MiD evidence,realised trip purpose,FIT_ONLY_EVIDENCE,target for chain/purpose,FORBIDDEN at runtime,CHAIN,same-event predictor,Direct purpose-eligible evidence only for primary reference.
source_origin_activity,MiD evidence,realised activity state,FIT_ONLY_EVIDENCE,target/sequence evidence,FORBIDDEN at runtime,CHAIN,same-event runtime predictor,May contribute to transition labels.
source_destination_activity,MiD evidence,realised activity state,FIT_ONLY_EVIDENCE,target/sequence evidence,FORBIDDEN at runtime,CHAIN,same-event runtime predictor,May contribute to transition labels.
source_return_home_indicator,Derived evidence,realised sequence property,FIT_ONLY_EVIDENCE,sequence validation/possible target factor,FORBIDDEN at runtime,CHAIN,force universal return-home,"Reference metric, not universal rule."
source_activity_transition,Derived evidence,realised transition,FIT_ONLY_EVIDENCE,target for chain transitions,FORBIDDEN at runtime,CHAIN,same-event runtime predictor,Transition-eligible evidence only.
W_SZ_W_AZ_or_source_times,MiD evidence,realised departure/arrival times,FIT_ONLY_EVIDENCE,target for DG_TIME_SCHEDULE,FORBIDDEN at runtime,TIME,copy future source times,DIRECT_TEMPORAL_VALID primary evidence.
source_duration,Derived evidence,realised trip duration,FIT_ONLY_EVIDENCE,timing target/diagnostic,FORBIDDEN at runtime,TIME,copy donor duration,Must preserve temporal provenance.
wegkm,MiD evidence,reported path length,FIT_ONLY_EVIDENCE,primary target for DG_DISTANCE_PRIOR,FORBIDDEN at runtime,DISTANCE,interpret as exact OD distance,DIRECT_SOURCE_DISTANCE_VALID primary evidence.
wegkm_imp,MiD evidence,imputed path length,FIT_ONLY_EVIDENCE,expanded/sensitivity target evidence,FORBIDDEN at runtime,DISTANCE,silently merge with raw evidence,Keep provenance separate.
P_GEW,MiD weight,person weight,FIT_ONLY_EVIDENCE,fitting/evaluation weight only,FORBIDDEN as behavioral feature,PARTICIPATION;TRIP_COUNT;day-level diagnostics,use as predictor,Weights never behavioral runtime features.
W_GEW,MiD weight,trip weight,FIT_ONLY_EVIDENCE,fitting/evaluation weight only,FORBIDDEN as behavioral feature,CHAIN;TIME;DISTANCE;trip-level diagnostics,use as predictor,Weights never behavioral runtime features.
source_weekday_holiday_season,MiD evidence,observed exogenous calendar context,FIT_ONLY_EVIDENCE,predictor analogue for scenario calendar features,FORBIDDEN as copied donor state,ALL,copy donor date/context to generated day,"Map to scenario-known analogue, not donor realization."
quality_eligibility_flags,Evidence control,fit eligibility/provenance,FIT_ONLY_EVIDENCE,select task-specific evidence,FORBIDDEN as preference feature,ALL,use quality status as behavioral predictor,"Examples: temporal-valid, purpose-eligible, distance-valid."
rbW_aggregate_evidence,MiD evidence,aggregate/top-coded count evidence,FIT_ONLY_EVIDENCE,count aggregate/sensitivity where contract permits,FORBIDDEN at runtime,TRIP_COUNT,convert to ordinary choice/timing event,Cannot become ordinary trip choice event.
observed_or_chosen_mode,M5/source outcome,realised mode outcome,FORBIDDEN_FUTURE_INFORMATION,OUT_OF_SCOPE_FOR_DGEN; possible M5 label,FORBIDDEN,NONE,any D_GEN predictor/target,Mode remains downstream M5.
mode_combination_or_hvm,M5/source outcome,mode/stage-derived evidence,FORBIDDEN_FUTURE_INFORMATION,OUT_OF_SCOPE_FOR_DGEN,FORBIDDEN,NONE,use to condition D_GEN same day,Preserve for downstream/diagnostics only.
km_routing_or_observed_dataset_routed_distance_km,Downstream/mode-conditioned evidence,routed distance diagnostic,FORBIDDEN_FUTURE_INFORMATION,not a universal D_GEN/M3 target,FORBIDDEN,NONE,distance-prior target/predictor,Explicitly excluded upstream.
exact_donor_od_coordinate,Unavailable source concept,exact donor OD,FORBIDDEN_FUTURE_INFORMATION,not available,FORBIDDEN,NONE,invent/impute donor coordinates,B1 standard does not expose exact donor OD.
generated_destination_coordinate,M3 output,exact generated destination,FORBIDDEN_FUTURE_INFORMATION,OUT_OF_SCOPE_FOR_DGEN,FORBIDDEN until M3,NONE,feed into D_GEN,M3 owns exact spatial realization.
feasible_alternatives,M3/M5 downstream,choice set,FORBIDDEN_FUTURE_INFORMATION,OUT_OF_SCOPE_FOR_DGEN,FORBIDDEN,NONE,feed into D_GEN,Downstream feasible-journey/mode context.
ExecutionTrace_or_execution_outcome,SimFleet execution,realised simulation outcome,FORBIDDEN_FUTURE_INFORMATION,evaluation only,FORBIDDEN,NONE,feedback during blocked evaluation,M7 may observe but not feed core during evaluation.
resource_availability_t,Downstream dynamic state,future/dynamic availability,FORBIDDEN_FUTURE_INFORMATION,not D_GEN fit target,FORBIDDEN unless separately frozen ex ante scenario state,NONE,collapse ownership/access/availability,Dynamic availability is not equivalent to static access.
Etappen_stage_sequence,MiD stage evidence,nonrepresentative stage sample,FORBIDDEN_FUTURE_INFORMATION,diagnostic-only for M4 structure,FORBIDDEN for D_GEN,NONE,learn representative D_GEN stage distribution,Trip != Stage; Etappen diagnostic-only.
generated_person_id,M1 technical,entity identifier,IDENTIFIER_PROVENANCE_ONLY,join/audit only,key only,NONE,behavioral predictor,"May appear in output key, never feature matrix."
generated_household_id,M1 technical,entity identifier,IDENTIFIER_PROVENANCE_ONLY,join/audit only,key only,NONE,behavioral predictor,Household attributes may be features; raw ID may not.
source_hp_id_h_id_p_id,Source technical,source identifiers,IDENTIFIER_PROVENANCE_ONLY,lineage/audit only,FORBIDDEN,NONE,behavioral predictor,Source IDs never behavioral runtime features.
source_row_key,Source provenance,row identifier,IDENTIFIER_PROVENANCE_ONLY,lineage/audit only,FORBIDDEN,NONE,behavioral predictor,Provenance only.
split_label,Pipeline control,TRAIN/CAL/TEST membership,IDENTIFIER_PROVENANCE_ONLY,fit/calibration/evaluation routing,FORBIDDEN,NONE,behavioral predictor,TEST remains sealed.
source_system_table,Source provenance,source identity,IDENTIFIER_PROVENANCE_ONLY,audit only,FORBIDDEN,NONE,behavioral predictor,Provenance only.
survey_year,Source provenance,survey identity/year,IDENTIFIER_PROVENANCE_ONLY,provenance; not a hybrid-year behavioral feature,FORBIDDEN as copied runtime input,NONE,claim single-year Berlin or learn survey identity,Scenario calendar context is separate.
